uuid,ordering,Trefwoord,Titel,Beschrijving,Trefwoord (en),Titel (en),Beschrijving (en),Afbeelding,spacer,Afbeelding url,Linked media-uuid,Linked media-name,Linked media-folder,Linked media-filesize,Linked media-mimetype,Record notes-uuid,Record notes-modified_by-uuid,Record notes-modified_by-username,Record notes-modified_by-displayname,Record notes-modified_by-email,Record notes-modified_by-active,Record notes-modified_by-admin,Record notes-modified_time,Record notes-veldnaam,Record notes-notes
91115922-6ef3-4532-df91-5b5f6b7212d3,,plattegrond,Plattegrond,Foto's van een plattegrond / routekaart / landkaart,maps,Maps,maps,NL-HlmNHA_1478_03391_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/5c1e82b2-5b61-20a8-6123-58d3fb73a42c.jpg,5c1e82b2-5b61-20a8-6123-58d3fb73a42c,NL-HlmNHA_1478_03391_G,5fb6aa45-0d31-7398-ccc8-cc2461386754,90095,image/jp2,,,,,,,,,,
9219934b-ea10-0d9d-58c5-793ed8068935,,binnen_zwembad,Binnen zwembad,Foto's van een binnenzwembad. Heeft mogelijk overeenkomsten met het label 'buiten_zwembad',indoor_pool,Indoor pool,,NL-HlmNHA_1478_03196_02_G,,https://images.memorix.nl/ranh/thumb/500x500/d39cd410-8934-8de6-49c3-cc08bccea89e.jpg,d39cd410-8934-8de6-49c3-cc08bccea89e,NL-HlmNHA_1478_03196_02_G,df38fc08-0456-438f-dae0-1689624a3ee1,90914,image/jp2,,,,,,,,,,
93801266-ad93-bd18-44c4-d6512f9c8d54,,bordspel,Bordspel,"Foto’s van mensen die een bordspel spelen, of van het bordspel zelf. Betreft niet foto’s die onder het label 'schaken_dammen'. Heeft mogelijk overeenkomsten met het label ‘kaartspel’",,,,NL-HlmNHA_1478_20014K00_13,,https://images.memorix.nl/ranh/thumb/500x500/eb736bad-1413-a9ea-7682-b01e90ce8ca5.jpg,eb736bad-1413-a9ea-7682-b01e90ce8ca5,NL-HlmNHA_1478_20014K00_13,a9b849a9-1ab8-4809-8beb-364b004f5cd5,131846,image/jp2,,,,,,,,,,
94fefc39-1f7c-45af-2b52-c4daf0ff5f02,,honkbal,Honkbal,Mensen die honkbal of softbal spelen,baseball,Baseball,People playing baseball,NL-HlmNHA_1478_00007K00_02,,https://images.memorix.nl/ranh/thumb/500x500/73360f2d-429d-1ef6-4dbb-5c425ac1d2d5.jpg,73360f2d-429d-1ef6-4dbb-5c425ac1d2d5,NL-HlmNHA_1478_00007K00_02,cefc7877-9038-8609-e58e-753abd66694a,179486,image/jp2,,,,,,,,,,
9571146c-71de-7477-b892-3c6f0dba1d7e,,gebouw,Gebouw,"Foto's waarin een gebouw en diens architectuur centraal staat en waarop de labels 'fabriek', 'huisje', 'kerk_buiten', 'windmolen' en 'ziekenhuis' niet van toepassing is",building,Building,Picture of a building,NL-HlmNHA_1478_2308,,https://images.memorix.nl/ranh/thumb/500x500/9c7c7542-d8fa-50e9-3158-e4493dd1698a.jpg,9c7c7542-d8fa-50e9-3158-e4493dd1698a,NL-HlmNHA_1478_2308,8f89fa48-499d-2fc0-6924-9fdc8fff3825,47077,image/jp2,,,,,,,,,,
97a2afcc-7548-3055-09d9-adfbe7044cd1,,tafel_tennis,Tafel tennis,Foto's van mensen die aan het tafeltennissen zijn,table_tennis,Table tennis,,NL-HlmNHA_1478_21489K01_29,,https://images.memorix.nl/ranh/thumb/500x500/c205db36-18a6-b986-7a5f-a8374fbb2c15.jpg,c205db36-18a6-b986-7a5f-a8374fbb2c15,NL-HlmNHA_1478_21489K01_29,33716b41-9c4d-0044-2e21-d91c9bb1df69,99894,image/jp2,,,,,,,,,,
989f2e1f-d01f-c447-eac9-c9cf7b68d5a7,,trein_ongeluk,Trein ongeluk,Ongeluk op een spoorbaan met een trein,train_accident,Train accident,Traffic accident involving an train,NL-HlmNHA_1478_20141K00_01.jpg,,https://images.memorix.nl/ranh/thumb/500x500/1afdc0c3-b467-3b26-3c70-61a1248579e0.jpg,1afdc0c3-b467-3b26-3c70-61a1248579e0,NL-HlmNHA_1478_20141K00_01,f83a88df-d4bc-9198-9ab1-2f2dd3617089,180290,image/jp2,,,,,,,,,,
9a1710fc-278e-c11e-e3d5-5c4587324dd3,,kaartspel,Kaartspel,Foto's waarop mensen aan het kaarten zijn. Heeft mogelijk overeenkomsten met het label 'casino',playing_cards,Playing cards,People playing cards,NL-HlmNHA_1478_15368K00_15,,https://images.memorix.nl/ranh/thumb/500x500/7e0f1051-1ae5-af5a-7e32-1b0d722a8c88.jpg,7e0f1051-1ae5-af5a-7e32-1b0d722a8c88,NL-HlmNHA_1478_15368K00_15,fd911260-fafb-8c16-901f-ad4cb53bbf8c,93525,image/jp2,,,,,,,,,,
9a69c879-9fd6-d3b5-dc69-5e144700a61c,,roeien,Roeien,Mensen die roeien met een roeiboot,rowing,Rowing,People rowing,NL-HlmNHA_1478_4662.jpg,,https://images.memorix.nl/ranh/thumb/500x500/f157c1a7-94fb-93fd-908c-4a038953f02c.jpg,f157c1a7-94fb-93fd-908c-4a038953f02c,NL-HlmNHA_1478_4662,dd381c2d-f20b-f82e-d0aa-61038b52b793,75288,image/jp2,,,,,,,,,,
9b260cc7-acd5-cb0d-e983-8b47147e03db,,kat,Kat,Foto’s waarin een of meerdere katten centraal staan,cat,Cat,,NL-HlmNHA_1478_18479K01_21,,https://images.memorix.nl/ranh/thumb/500x500/5de4cd89-1b19-8d3b-b150-591e49568586.jpg,5de4cd89-1b19-8d3b-b150-591e49568586,NL-HlmNHA_1478_18479K01_21,a9b849a9-1ab8-4809-8beb-364b004f5cd5,129673,image/jp2,,,,,,,,,,
